model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
1024,1,0.12,liblinear_svc,0.3154901304784209,29.05958914756775,1023,0.3080751324450153,0,1670673186.2882187,1670673215.4234285,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
996,2,0.02,libsvm_svc,0.31600000000000006,14.414926767349243,995,0.28966849050531074,0,1670672865.7249231,1670672880.2009828,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
980,3,0.02,libsvm_svc,0.3171219187208527,14.90030837059021,979,0.28810828230744434,0,1670672714.0155802,1670672728.9251337,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
927,4,0.02,liblinear_svc,0.31715425531914887,9.82440447807312,926,0.32906119833386727,0,1670672071.3617938,1670672081.3467808,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
527,5,0.06,libsvm_svc,0.31730126920507684,33.704272747039795,526,0.28172671210645883,0,1670669609.8712223,1670669643.6446252,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
1547,6,0.02,liblinear_svc,0.3173173173173174,33.90415954589844,1546,0.3247918001281229,0,1670679472.5025296,1670679506.4564242,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
1470,7,0.08,libsvm_svc,0.31749749079959855,19.95945382118225,1469,0.29057463779912107,0,1670678655.657888,1670678675.6690898,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
611,8,0.04,libsvm_svc,0.3177100770003348,13.281412124633789,610,0.2895979163275274,0,1670670094.8980324,1670670108.2016916,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
740,9,0.04,libsvm_svc,0.3177257525083611,15.13384222984314,739,0.2912463390823301,0,1670670877.0771134,1670670892.2919745,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
693,10,0.06,libsvm_svc,0.31793842034805886,17.038742065429688,692,0.2848563544879077,0,1670670559.0959575,1670670576.2107968,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
752,11,0.06,liblinear_svc,0.31793842034805886,20.100389003753662,751,0.326383319967923,0,1670670939.9072502,1670670960.0928013,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
866,12,0.02,liblinear_svc,0.3184394798266089,33.30267095565796,865,0.3247959020329759,0,1670671623.4223769,1670671656.7991385,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
701,13,0.02,libsvm_svc,0.31866666666666665,14.89942193031311,700,0.28926152853918097,0,1670670611.2329984,1670670626.3047657,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
750,14,0.04,libsvm_svc,0.31882116543871397,14.768957376480103,749,0.2854822994478726,0,1670670927.4043117,1670670942.214742,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
945,15,0.08,liblinear_svc,0.3188647746243739,17.90658926963806,944,0.3081498151422599,0,1670672293.9001448,1670672311.9905875,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
595,17,0.02,libsvm_svc,0.31887925283522345,11.739956855773926,594,0.2839426638750201,0,1670670005.1591966,1670670016.910481,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
873,16,0.1,liblinear_svc,0.31887925283522345,22.615144729614258,872,0.3014184397163121,0,1670671667.2446675,1670671689.88728,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
744,18,0.02,libsvm_svc,0.3190635451505017,44.23026776313782,743,0.2990457706614911,0,1670670899.6627736,1670670943.9013577,0.0,StatusType.SUCCESS,[],['polynomial'],weighting,Local Search
715,19,0.02,libsvm_svc,0.3190921228304405,14.146494388580322,714,0.29797898140662904,0,1670670703.1735127,1670670717.5059745,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
415,20,0.02,libsvm_svc,0.3191205862758162,13.19426965713501,414,0.27963917525773185,0,1670668992.4296696,1670669005.7449217,0.0,StatusType.SUCCESS,[],['no_preprocessing'],weighting,Local Search
811,21,0.1,liblinear_svc,0.31917717319177175,10.899471044540405,810,0.3013830813766485,0,1670671267.6648932,1670671278.6410015,0.0,StatusType.SUCCESS,[],['nystroem_sampler'],weighting,Local Search
338,22,0.02,libsvm_svc,0.3192912069541959,34.61051154136658,337,0.28950366151342566,0,1670668634.7677166,1670668669.4470162,0.0,StatusType.SUCCESS,[],['fast_ica'],weighting,Local Search
