F1 Score,Accuracy,ROC AUC,NUM_LAYERS,DROPOUT,NORM_TYPE
0.8565903963905898,0.9055402250053067,0.9454867775709651,1,0.0,bn
0.8600746268656717,0.9044788792188495,0.9577447643989617,1,0.0,None
0.8507645259938837,0.8964126512417746,0.9458045604208972,1,0.3,bn
0.8448430493273542,0.8898323073657397,0.9543016966437454,1,0.3,None
0.8376171756879346,0.8860114625344937,0.9498212710991273,1,0.6,bn
0.8337746395998825,0.8800679261303332,0.9472004450371818,1,0.6,None
0.0,0.6631288473784759,0.925448405619603,1,0.9,bn
0.4894712213383248,0.768414349395033,0.9417020251773572,1,0.9,None
0.8501638367590111,0.8932286138824029,0.9507170334834809,15,0.0,bn
0.8718114304165321,0.9157291445552961,0.9485032437853331,15,0.0,None
0.8550185873605948,0.9006580343876035,0.954279408478136,15,0.3,bn
0.0,0.6631288473784759,0.5,15,0.3,None
0.0,0.6631288473784759,0.3539625938019133,15,0.6,bn
0.0150093808630394,0.6656760772659732,0.8002465010605535,15,0.6,None
0.0,0.6631288473784759,0.46037567560371684,15,0.9,bn
0.5039695141314703,0.3368711526215241,0.8544025077312704,15,0.9,None
