F1 Score,Accuracy,ROC AUC,NUM_LAYERS,DROPOUT,NORM_TYPE
0.8465512002430873,0.89280407556782,0.9549570292235166,1,0.0,bn
0.8569670870501385,0.9012948418594778,0.9563586623712026,1,0.0,None
0.848466443972062,0.8940776905115687,0.9559026122133499,1,0.3,bn
0.8233924934535932,0.8711526215240926,0.9277719216715196,1,0.3,None
0.8490970309152127,0.8953513054553174,0.9530281448097416,1,0.6,bn
0.8513761467889909,0.8968371895563575,0.9555219989237136,1,0.6,None
0.8512068438741215,0.896624920399066,0.9549257652808067,1,0.9,bn
0.8415931894192763,0.8894077690511568,0.9520238662887562,1,0.9,None
0.8560485157995532,0.9042666100615581,0.9482731008264169,15,0.0,bn
0.8411674347158219,0.8902568456803226,0.9467485297878814,15,0.0,None
0.8431490384615385,0.8891954998938654,0.9497073089853781,15,0.3,bn
0.8513225904530253,0.8962003820844832,0.9465407758460023,15,0.3,None
0.8452616690240452,0.8838887709615793,0.9510575079047349,15,0.6,bn
0.8714194780394654,0.914243260454256,0.9484196379514412,15,0.6,None
0.8294956140350878,0.8679685841647209,0.9309633651136353,15,0.9,bn
0.8180839612486545,0.8565060496709828,0.9128859483301829,15,0.9,None
