n_estimators,learning_rate,max_depth,colsample_bytree,f1,accuracy,auc
100,0.05,4,0,0.3757796952078659,0.7313478272676838,0.7752419237980035
500,0.05,4,0,0.5321470353498939,0.7544482722500903,0.7895692086598188
100,0.05,4,0,0.3757796952078659,0.7313478272676838,0.7752419237980035
500,0.05,4,0,0.5321470353498939,0.7544482722500903,0.7895692086598188
100,0.05,8,0,0.30529236980483787,0.7169001369475061,0.7615273437549646
500,0.05,8,0,0.36348940343719177,0.7258042465365472,0.767267274912652
100,0.05,8,0.5,0.6063833894693124,0.7753755581677744,0.80625497018733
500,0.05,8,0.5,0.6075746458533116,0.7761228337659013,0.806419383526133
100,0.05,16,0.5,0.5940487773028902,0.7700823236849355,0.7992320431257565
500,0.05,16,0.5,0.5940487773028902,0.7700823236849355,0.7992320431257565
100,0.05,16,0.5,0.5940487773028902,0.7700823236849355,0.7992320431257565
500,0.05,16,0.5,0.5940487773028902,0.7700823236849355,0.7992320431257565
